Fecha;Datos Reales;Predicciones
08/06/2015 1:50;23238;22879,822
08/06/2015 2:00;22817;22814,832
08/06/2015 2:10;22791;22459,412
08/06/2015 2:20;22696;22356,934
08/06/2015 2:30;22741;22306,123
08/06/2015 2:40;22687;22354,668
08/06/2015 2:50;22717;22322,139
08/06/2015 3:00;21977;22321,334
08/06/2015 3:10;21814;21664,934
08/06/2015 3:20;22221;21374,594
08/06/2015 3:30;22209;21833,95
08/06/2015 3:40;22072;22055,139
08/06/2015 3:50;22129;21937,205
08/06/2015 4:00;22065;21890,844
08/06/2015 4:10;22142;21808,566
08/06/2015 4:20;21950;21847,57
08/06/2015 4:30;21959;21706,973
08/06/2015 4:40;22069;21685,584
08/06/2015 4:50;21916;21820,973
08/06/2015 5:00;21945;21751,312
08/06/2015 5:10;22338;21750,145
08/06/2015 5:20;22147;22103,926
08/06/2015 5:30;22483;22027,01
08/06/2015 5:40;22350;22230,055
08/06/2015 5:50;22587;22154,281
08/06/2015 6:00;22898;22301,219
08/06/2015 6:10;23778;22623,834
08/06/2015 6:20;24175;23498,178
08/06/2015 6:30;24428;24058,936
08/06/2015 6:40;24572;24342,043
08/06/2015 6:50;24915;24451,922
08/06/2015 7:00;24884;24750,084
08/06/2015 7:10;26247;24782,008
08/06/2015 7:20;26545;26174,727
08/06/2015 7:30;27281;26733,105
08/06/2015 7:40;27851;27480,854
08/06/2015 7:50;28070;28103,227
08/06/2015 8:00;28338;28331,467
08/06/2015 8:10;29326;28526,36
08/06/2015 8:20;29703;29528,07
08/06/2015 8:30;29930;29887,355
08/06/2015 8:40;30363;30015,158
08/06/2015 8:50;30376;30355,586
08/06/2015 9:00;30660;30214,594
08/06/2015 9:10;31011;30424,545
08/06/2015 9:20;31331;30730,914
08/06/2015 9:30;31383;30982,502
08/06/2015 9:40;31763;30927,646
08/06/2015 9:50;31901;31268,078
08/06/2015 10:00;32201;31281,514
08/06/2015 10:10;32219;31525,95
08/06/2015 10:20;32492;31432,791
08/06/2015 10:30;33053;31689,662
08/06/2015 10:40;32989;32237
08/06/2015 10:50;33167;32035,24
08/06/2015 11:00;33257;32241,096
08/06/2015 11:10;33260;32240,932
08/06/2015 11:20;33438;32172,38
08/06/2015 11:30;33501;32368,248
08/06/2015 11:40;33636;32377,725
08/06/2015 11:50;33917;32523,994
08/06/2015 12:00;33997;32802,22
08/06/2015 12:10;34080;32805,66
08/06/2015 12:20;34287;32877,914
08/06/2015 12:30;34218;33051,95
08/06/2015 12:40;34417;32886
08/06/2015 12:50;34682;33126,95
08/06/2015 13:00;34316;33337,926
08/06/2015 13:10;34426;32861,348
08/06/2015 13:20;34494;33114,086
08/06/2015 13:30;34707;33068,848
08/06/2015 13:40;34615;33300,38
08/06/2015 13:50;34489;33154,273
08/06/2015 14:00;34017;33032,33
08/06/2015 14:10;33719;32445,906
08/06/2015 14:20;33699;32165,445
08/06/2015 14:30;33693;32226,924
08/06/2015 14:40;33636;32263,941
08/06/2015 14:50;33328;32255,822
08/06/2015 15:00;33113;31902,145
08/06/2015 15:10;33081;31695,19
08/06/2015 15:20;33199;31671,514
08/06/2015 15:30;33273;31816,31
08/06/2015 15:40;33144;31907,445
08/06/2015 15:50;33262;31775,664
08/06/2015 16:00;32931;31964,002
08/06/2015 16:10;32850;31548,668
08/06/2015 16:20;33290;31543,39
08/06/2015 16:30;33028;32115,184
08/06/2015 16:40;33280;31753,262
